"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"About Us","Default Category","241","Yes","aboutus","","","","","","Yes","Products only","","No","","","No layout updates",""
"Products","Default Category","1","Yes","products","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wholesale Furniture","Default Category/Products","157","Yes","wholesale-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wholesale Wicker Furniture","Default Category/Products","158","Yes","wholesale-wicker-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker","Default Category/Products","159","Yes","wicker","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Accessories","Default Category/Products","160","Yes","wicker-accessories","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Affordable Patio Furniture","Default Category/Products","161","Yes","wicker-affordable-patio-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Two Seater","Default Category/Products","156","Yes","two-seater","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Transitional Outdoor Furniture","Default Category/Products","155","Yes","transitional-outdoor-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Traditional Outdoor Furniture","Default Category/Products","154","Yes","traditional-outdoor-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Tables and Bases","Default Category/Products","153","Yes","tables-and-bases","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Synthetic Rattan Outdoor Furniture","Default Category/Products","152","Yes","synthetic-rattan-outdoor-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Sunroom Furniture","Default Category/Products","151","Yes","sunroom-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Sun beds","Default Category/Products","150","Yes","sun-beds","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Sofas","Default Category/Products","149","Yes","sofas","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker All-Weather Fabrics","Default Category/Products","162","Yes","wicker-all-weather-fabrics","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
