store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,parent_url_key,price,special_price,msrp,status,visibility,tax_class_id,frame,rattan,fabric,tabletop,default_configuration_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,weight,minimal_price,old_id,is_recurring,recurring_profile,price_type,sku_type,weight_type,price_view,shipment_type,samples_title,links_title,cost,links_purchased_separately,links_exist
admin,base,[Frame][Rattan][Fabric][TableTop],configurable,"2120, 2125, 2127, 2130, 2132, 2134, 2135, 2136, 2138, 2140, 2141, 2143, 2147, 2149, 2154, 2156, 2157, 2162, 2163, 2165, 2166, 2507, 2511, 2513, 2524, 2525, 2554, 2565, 2637, 2642, 2643, 2657, 2677",POM878875,1,Pompano Ottoman,Pompano Ottoman,Exclusive savings are found on our Pompano Ottoman made with satisfaction guaranteed. Receive more than you spend on your high-quality furniture collections with prices that continue to lead the market in value.,/o/t/ottoman-1.jpg,/o/t/ottoman-1.jpg,/o/t/ottoman-1.jpg,ottoman,ottoman,,No layout updates,Block after Info Column,Pompano Ottoman - Front Corner,Pompano Ottoman - Front Corner,Pompano Ottoman - Front Corner, ,Use config,Use config,No,collections/pompano,679.99,,809.99,Enabled,"Catalog, Search",Taxable Goods,,,,,,"<p>Pleasure in the cutting edge design of our jaw dropping Pompano Ottoman crafted with sleek sides, plush cushioning and lightweight frames for easy placement. Without the use of heavy metals and instead using nonferrous aluminum and Viro rattan resin, you&#039;ll see our impressive Pompano Ottoman is also low in maintenance. Gorgeous fabric choices are available through our online swatch book were you&#039;ll be able to tailor each piece to perfectly accentuate your individual sense of style. Invite life onto your patio and revel in the ultimate comfort of our Allure fabrics, soft and texture but unmatched in durability with UV protection and water resistance sewn into its every fiber. Captivate with each Pompano Ottoman infused with rich color and designed to maintain the relaxing ambiance of your carefree oasis.</p><p>We believe in achieving excellence not just in our exceptional Pompano Ottoman&#039;s craftsmanship but in its price as well. We offer factory pricing on entire collections and when you include our standard free shipping, you will see why our customer satisfaction rating is at an all time high. Make Rattan Outdoor Furniture the cornerstone of your outdoors with the arrangement of our exquisite Pompano Ottoman and our other finely crafted selection.</p><p>Do you have questions on our Pompano Ottoman? We have answers at <a href='tel:18442728826'>(844) 2-RATTAN</a>. Email your Pompano Ottoman inquires to <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a> and we will promptly respond every time.</p>",The Pompano Collection,Pompano Ottoman,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Pompano Ottoman,0,configurable,,,,,,,,,,,,,,,,,
admin,base,[Frame][Rattan][Fabric][TableTop],simple,2677,POM878875-00,0,Pompano Ottoman - Default,Pompano Ottoman,,,,,ottoman,ottoman-77,,No layout updates,Block after Info Column,Pompano Ottoman - Front Corner,Pompano Ottoman - Front Corner,Pompano Ottoman - Front Corner, ,Use config,Use config,No,collections/pompano,679.99,,809.99,Enabled,Not Visible Individually,Taxable Goods,Natural Wood,Arabica 7mm Peel,795R2C1,,,,The Pompano Collection,Pompano Ottoman,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Pompano Ottoman - Default,0,simple,,,100,,,No,,,,,,,,,,,
admin,base,[Frame][Rattan][Fabric][TableTop],simple,2677,POM878851-00,0,Pompano Loveseat - Default,Pompano Loveseat,,,,,loveseat-default,loveseat-default,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,collections/pompano,1999.99,,2399.99,Enabled,Not Visible Individually,Taxable Goods,Natural Wood,Arabica 7mm Peel,795R2C1,,,,The Pompano Collection,Pompano Loveseat,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Pompano Loveseat - Default,0,simple,,,100,,,No,,,,,,,,,,,
admin,base,[Frame][Rattan][Fabric][TableTop],configurable,"2125, 2130, 2132, 2135, 2136, 2140, 2141, 2143, 2144, 2146, 2147, 2154, 2157, 2162, 2163, 2165, 2166, 2167, 2169, 2510, 2543, 2575, 2640, 2641, 2642, 2677",POM878851,1,Pompano Loveseat,Pompano Loveseat,Buy our Pompano Loveseat through Rattan Outdoor Furniture to receive exclusive factory direct discounts alongside fast and free shipping. We are a trusted e-commerce member with a well respected reputation.,/l/o/loveseats-main_26.jpg,/l/o/loveseats-main_26.jpg,/l/o/loveseats-main_26.jpg,loveseat,loveseat,,No layout updates,Block after Info Column,Pompano Loveseat - Front Corner,Pompano Loveseat - Front Corner,Pompano Loveseat - Front Corner, ,Use config,Use config,No,collections/pompano,1999.99,,2399.99,Enabled,"Catalog, Search",Taxable Goods,,,,,20,"<p>Our exceptional Pompano Loveseat displays quality at its finest with sloping angles, spun polyester cushioning designed with Indentation Load Deflection (ILD) and innovating advancements to achieve excellent sustainability and versatility. Crafting our Pompano Loveseat with thick gauge nonferrous aluminum frames means we have illuminated the possibility of rust ever forming. Hand weaving synthetic polyethylene into and firmly wrapping our resin around each frame, enables your exquisite Pompano Loveseat from succumbing to the seasonal elements or developing cracks and splits. Water resistant Allure fabrics are infused with rich color of your choosing with options available through our online swatch book. Our sculpted backs will conform to your body&#039;s movement for plush comfort only found on our exclusive Pompano Loveseat.</p><p>The gorgeous craftsmanship seen on our Pompano Loveseat is uncompromising just like our discount rates. Make our stunning Pompano Loveseat the focal point of style in your home and complete your order today by registering with online. Once your purchase is complete, we will ship your Pompano Loveseat to the location of your choice free of charge. Become a value customer and see how we not only provide you with uncompromising benefits but with the assurance of everyday low prices.</p><p>Allow our qualified operators assist you every step of the way by contacting us at <a href='tel:18442728826'>(844) 2-RATTAN</a>. Ask for further details about our amazing Pompano Loveseat by emailing our associates at <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>.</p>",The Pompano Collection,Pompano Loveseat,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Pompano Loveseat,0,configurable,,,,,,,,,,,,,,,,,
admin,base,[Frame][Rattan][Fabric][TableTop],configurable,"2123, 2125, 2129, 2130, 2132, 2133, 2135, 2136, 2139, 2140, 2141, 2143, 2144, 2147, 2151, 2153, 2154, 2157, 2159, 2161, 2162, 2163, 2164, 2165, 2166, 2167, 2483, 2492, 2495, 2499, 2504, 2509, 2511, 2512, 2514, 2517, 2518, 2522, 2526, 2532, 2538, 2559, 2574, 2581, 2586, 2619, 2624, 2630, 2639, 2646, 2651, 2665, 2677",POM878837,1,Pompano Armchair,Pompano Armchair,Provide trend setting luxury with our impressive Pompano Armchair styled to highlight your patio in sophistication. We list our products at a value to the consumer with factory direct pricing.,/s/w/swivel-rocker-main_4.jpg,/s/w/swivel-rocker-main_4.jpg,/s/w/swivel-rocker-main_4.jpg,armchair,armchair,,No layout updates,Block after Info Column,Pompano Armchair - Front Corner,Pompano Armchair - Front Corner,Pompano Armchair - Front Corner, ,Use config,Use config,No,collections/pompano,1579.99,,1889.99,Enabled,"Catalog, Search",Taxable Goods,,,,,23,"<p>Become engrossed in ergonomic seating provide by our striking Pompano Armchair distinguishing the ideal setting for your outdoor haven. Spun polyester cushioning will keep you at ease with our durable yet softly textured Allure fabrics only found through our online store. Using premium construction techniques, our synthetic polyethylene resin is hand woven encompassing our nonferrous aluminum frames, so our exceptional Pompano Armchair is crafted with ultra endurance. Using the industry&#039;s leading advancements, our products will not chip, peel, crack or develop rust. Throughout the passing of time, your stellar Pompano Armchair will still remain impressive in color and overall appeal.</p><p>The benefits of owning our superior Pompano Armchair is clearly seen in both price and style and that&#039;s because we draw inspiration directly from the requests of our customers. Since the beginning of Rattan Outdoor Furniture, we made a commitment to not only serve you but listen as well. That&#039;s why when ordering our Pompano Armchair you also receive free and quick delivery as well as a 60 day price match guarantee. From promotional discounts to everyday low prices, there is always a reason to purchase our incredible Pompano Armchair.</p><p>How can you begin the purchase of your Pompano Armchair? You can select fabrics and resin right online and complete any order by registering with us today. Contact our friendly and professional staff at <a href='tel:18442728826'>(844) 2-RATTAN</a> for any and all assistance. Send your email inquires to <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a> and discover all you need to know to successfully buy our unique Pompano Armchair.</p>",The Pompano Collection,Pompano Armchair,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Pompano Armchair,0,configurable,,,,,,,,,,,,,,,,,
admin,base,[Frame][Rattan][Fabric][TableTop],simple,,POM878837-00,0,Pompano Armchair - Default,Pompano Armchair,,,,,pompano-armchair-default,pompano-armchair-default,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,collections/pompano,1579.99,,1889.99,Enabled,Not Visible Individually,Taxable Goods,Natural Wood,Arabica 7mm Peel,795R2C1,,,,The Pompano Collection,Pompano Armchair,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Pompano Armchair - Default,0,simple,,,100,,,No,,,,,,,,,,,
admin,base,[Frame][Rattan][Fabric][TableTop],configurable,"2125, 2130, 2135, 2136, 2140, 2141, 2143, 2144, 2147, 2154, 2157, 2162, 2163, 2165, 2166, 2167, 2547, 2589, 2670, 2677",POM878844,1,Pompano Swivel Rocker,Pompano Swivel Rocker,Find benefits with every purchase of our impressive Pompano Swivel Rocker crafted for luxury but priced for the nation&#039;s everyday homeowner. Our company is a leading e-commerce member.,/s/w/swivel-rocker-main_5.jpg,/s/w/swivel-rocker-main_5.jpg,/s/w/swivel-rocker-main_5.jpg,swivel-rocker,swivel-rocker,,No layout updates,Block after Info Column,Pompano Swivel Rocker - Front Corner,Pompano Swivel Rocker - Front Corner,Pompano Swivel Rocker - Front Corner, ,Use config,Use config,No,collections/pompano,1629.99,,1949.99,Enabled,"Catalog, Search",Taxable Goods,,,,,25,"<p>Are you ready to embody a life of luxury with our fresh and modern Pompano Swivel Rocker? Hold fast to your commitment to trend setting sophistication while at the same time, maintaining within your budget. Our Pompano Swivel Rocker is priced to sell everyday at prices that are exceptionally low. You&#039;ll not only fall in love with our innovating designs but the pure satisfaction of discounts that are normally reserved for inventory clearance sales. Recreation can be found on your patio, lanai or deck today with our fast and free shipping available with the order of your Pompano Swivel Rocker.</p><p>See your friends and family respond the sleek and comforting styling of our striking Pompano Swivel Rocker that allows you to lean to and fro with the support of our Indentation Load Deflection (ILD) cushions. Exclusive Allure fabrics are softly textured yet durable against the toughest of weather conditions. Supported by nonferrous aluminum frames and 100% hand woven synthetic resin, our Pompano Swivel Rocker will not corrode and resists the development of scratches and other blemishes. It&#039;s easy to become another satisfied customer when purchasing our Pompano Swivel Rocker from our easily accessible online store now.</p><p>Send pictures your Pompano Swivel Rocker ornate in your home to our email at <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a> and you could be featured as a valued customer on our Facebook page. Ask for help with Pompano Swivel Rocker order at <a href='tel:18442728826'>(844) 2-RATTAN</a>.</p>",The Pompano Collection,Pompano Swivel Rocker,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Pompano Swivel Rocker,0,configurable,,,,,,,,,,,,,,,,,
admin,base,[Frame][Rattan][Fabric][TableTop],simple,,POM878844-00,0,Pompano Swivel Rocker - Default,Pompano Swivel Rocker,,,,,pompano-swivel-rocker-default,pompano-swivel-rocker-default,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,collections/pompano,1629.99,,1949.99,Enabled,Not Visible Individually,Taxable Goods,Natural Wood,Arabica 7mm Peel,795R2C1,,,,The Pompano Collection,Pompano Swivel Rocker,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Pompano Swivel Rocker - Default,0,simple,,,100,,,No,,,,,,,,,,,
admin,base,[Frame][Rattan][Fabric][TableTop],configurable,"2125, 2127, 2130, 2132, 2134, 2135, 2136, 2137, 2138, 2140, 2141, 2143, 2147, 2148, 2154, 2156, 2157, 2162, 2163, 2165, 2166, 2170, 2496, 2497, 2503, 2511, 2519, 2520, 2534, 2535, 2541, 2552, 2561, 2568, 2579, 2590, 2627, 2628, 2634, 2652, 2653, 2661, 2672, 2677",POM878882,1,Pompano Coffee Table,Pompano Coffee Table,Our valuable Pompano Coffee Table is sold at rock bottom prices every day at Rattan Outdoor Furniture. We specialize in premium furniture crafted with the commercial-grade materials.,/c/o/coffee-table-main_34.jpg,/c/o/coffee-table-main_34.jpg,/c/o/coffee-table-main_34.jpg,coffee-table,coffee-table,,No layout updates,Block after Info Column,Pompano Coffee Table - Side Corner,Pompano Coffee Table - Side Corner,Pompano Coffee Table - Side Corner, ,Use config,Use config,No,collections/pompano,1129.99,,1349.99,Enabled,"Catalog, Search",Taxable Goods,,,,,27,"<p>Add an eye-catching centerpiece to your home with our trending Pompano Coffee Table. Our artisan crafted furniture beautifully blends attractive form and functionality with unmistakable highly sought after commercial grade materials and an old world charm combined with modern elegance. Hand applied polyethylene rattan is meticulously wrapped around exceptional nonferrous aluminum frames. Add a designer&#039;s touch to your outdoors and never worry about your Pompano Coffee Table weathering under the elements. Rain or shine, our Viro resin is infused with the advancement of lasting color pigments that will remain vibrant while resisting sunlight damage that can cause discoloration and fading. Top to bottom, enjoy the everlasting strength of our breathtaking Pompano Coffee Table designed with exquisite angles, sloping legs and the benefit of storage underneath.</p><p>Are you looking for more customizations in our unique Pompano Coffee Table? Take a glance at the top quality of our trend setting Pompano Coffee Table and choose from our selection of tempered glass or marble tops. Both options provide you with lasting beauty and refrain from scratches, stains and other blemishes. At Rattan Outdoor Furniture we provide with premium furnishings that allow for endless possibilities. Open your outdoors to the skillful design of our impeccable Pompano Coffee Table today and it all begins when you register with our online store today.</p><p>Easily receive assistance now with your Pompano Coffee Table when calling our readily available operators at <a href='tel:18442728826'>(844) 2-RATTAN</a>. Ask about tailoring your Pompano Coffee Table by emailing our in house designers at <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>.</p>",The Pompano Collection,Pompano Coffee Table,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Pompano Coffee Table,0,configurable,,,,,,,,,,,,,,,,,
admin,base,[Frame][Rattan][Fabric][TableTop],simple,,POM878882-00,0,Pompano Coffee Table - Default,Pompano Coffee Table,,,,,pompano-coffee-table-default,pompano-coffee-table-default,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,collections/pompano,1129.99,,1349.99,Enabled,Not Visible Individually,Taxable Goods,Natural Wood,Arabica 7mm Peel,,Glass,,,The Pompano Collection,Pompano Coffee Table,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Pompano Coffee Table - Default,0,simple,,,100,,,No,,,,,,,,,,,
