sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,default_configuration_id,description,fabric,frame,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,parent_url_key,price,rattan,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tabletop,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
BRT879292,,[Frame][Rattan][Fabric][TableTop],simple,Products/Deck Furniture,Default Category,base,,,12/12/2014 20:29:31,,,,,,"<p>Are you hoping to add to your current sectional with our dynamic Brighton Sectional Corner Piece? Provide even more comfort in your home&#039;s patio with the addition of our modular Brighton Sectional Corner Piece that will perfectly coordinate with your existing decor. Using nonferrous aluminum frames and synthetic wicker and rattan resin, your Brighton Sectional Corner Piece is sure to bring years of joy without the worry of sun damage, rust or the formation of blemishes. Sink into our Indentation Load Deflection (ILD) cushions that are found in a variety of vibrant colors with our line of impressive Allure fabrics. Don&#039;t limit your home to just a few pieces and bring even more luxury to your surroundings with our amazing Brighton Sectional Corner Piece ready to be shipped to you free of charge today.</p><p>We keep the pricing of our trendy Brighton Sectional Corner Piece at a minimum wholesale discount, so there&#039;s no need to worry about over inflated prices. With Rattan Outdoor Furniture your wicker and rattan needs are taken care of and the purchasing of our striking Brighton Sectional Corner Piece is just a click away. Order today off our online shop and we&#039;ll ship your completed Brighton Sectional Corner Piece purchase directly to your home via our quick and convenient shipping options. Contact our in-house designers to perfectly synchronize your Brighton Sectional Corner Piece with your existing patio furnishings by calling us at <a href='tel:18442728826'>(844) 2-RATTAN</a>. Email all of your Brighton Sectional Corner Piece inquiries to <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a>.</p>",795R2C2,Natural Wood,,0,0,/b/r/brighton-sectional-corner-front-angle-cushion_1.jpg,Brighton Sectional Corner Piece - Front Angle with Cushions,,,Relax in the comfort of the beach with our breathtaking Brighton Sectional Corner Piece that has stunning appeal and listed at jaw dropping discounts.,Brighton Sectional Modular Corner Piece,Brighton Sectional Corner Piece,,485.99,Use config,Use config,Brighton Sectional Corner Piece,,,Block after Info Column,,collections/brighton,404.99,CC2 5mm Round,0,The Brighton Collection,/b/r/brighton-sectional-corner-front-angle-cushion_1.jpg,Brighton Sectional Corner Piece - Front Angle with Cushions,,,,1,,2,/b/r/brighton-sectional-corner-front-angle-cushion_1.jpg,Brighton Sectional Corner Piece - Front Angle with Cushions,12/12/2014 23:18:19,sectional-corner-piece,sectional-corner-piece,4,100,100,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/b/r/brighton-sectional-corner-front-angle-cushion_1.jpg,Brighton Sectional Corner Piece - Front Angle with Cushions,1,1
,,,,Products/Modern Wicker Furniture,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/b/r/brighton-sectional-corner-back-angle_1.jpg,Back Corner - Brighton Sectional Corner Piece,4,0
,,,,Products/Modular Furniture,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/b/r/brighton-sectional-corner-side_1.jpg,Side View - Brighton Sectional Corner Piece,3,0
,,,,Products/Outdoor Furniture,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/b/r/brighton-sectional-corner-front-angle_1.jpg,Front Angle without Cushions - Brighton Sectional Corner Piece,2,0
,,,,Products/Outdoor Patio Furniture,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Patio Furniture,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Patio Wicker Furniture,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Pool Furniture,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Ratan Outdoor Furniture,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Products/Seating,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
